Date,Inflow-Mohembo,Rainfall-Maun,Rainfall-Shakawe,PET-Maun
2010/01/01,830.3422111,222.7,156.7,165.5588235
2010/02/01,1459.468636,182,67.8,139.7941176
2010/03/01,1491.8688,65.4,39.8,135.617647
2010/04/01,2369.088,96.6,18.9,105.0882352
2010/05/01,2030,1,0,82.97058823
2010/06/01,1217,0,0,62.67647058
2010/07/01,907,0,0,64.5
2010/08/01,707,0,0,85.9117647
2010/09/01,519,0,0,121.8529411
2010/10/01,405.9336693,0.2,0,168.117647
2010/11/01,336.486096,45.3,51.3,176.0294117
2010/12/01,660.1106263,84.3,107.5,177.9705882
2011/01/01,1351.3,186.2,142.7,165.5588235
2011/02/01,1330,46.3,78.6,139.7941176
2011/03/01,1999,130.5,66.4,135.617647
2011/04/01,2407,25.1,44.4,105.0882352
2011/05/01,1905,0,11.3,82.97058823
2011/06/01,1264.582886,0,0,62.67647058
2011/07/01,929.8199088,0,0,64.5
2011/08/01,740.8332638,0,0,85.9117647
2011/09/01,552.869749,0,0,121.8529411
2011/10/01,434,0,0.4,168.117647
2011/11/01,378,48.4,86.5,176.0294117
2011/12/01,665,140.5,78.9,177.9705882
2012/01/01,1173.368876,54.6,141.7,165.5588235
2012/02/01,1506.3408,62.9,127.4,139.7941176
2012/03/01,1408.215086,15.4,50.6,135.617647
2012/04/01,1820.929371,0,0,105.0882352
2012/05/01,1133.086974,0,0,82.97058823
2012/06/01,783.0581472,0,0,62.67647058
2012/07/01,613.9931513,0,0,64.5
2012/08/01,491.0598309,0,0,85.9117647
2012/09/01,386.7747717,0,0,121.8529411
2012/10/01,333.7296336,16.3,16.3,168.117647
2012/11/01,360.5703984,26.8,26.8,176.0294117
2012/12/01,554.9437008,85.5,85.5,177.9705882
2013/01/01,947.5439616,201.1,201.1,165.5588235
2013/02/01,898.6136112,27.1,27.1,139.7941176
2013/03/01,1424.803357,10.8,10.8,135.617647
2013/04/01,1356.224472,0,0,105.0882352
2013/05/01,1096.440408,0,0,82.97058823
2013/06/01,639.7682832,0,0,62.67647058
2013/07/01,529.3625357,0,0,64.5
2013/08/01,447.5317219,0,0,85.9117647
2013/09/01,380.5651296,0.1,0.1,121.8529411
2013/10/01,276.3150984,3.6,3.6,168.117647
2013/11/01,260.978124,64.9,64.9,176.0294117
2013/12/01,487.0809888,194.3,194.3,177.9705882
2014/01/01,681.1238592,104.8,104.8,165.5588235
2014/02/01,680.0220432,133.9,133.9,139.7941176
2014/03/01,1019.181226,203.8,203.8,135.617647
2014/04/01,1505.051755,26.4,26.4,105.0882352
2014/05/01,1460.502706,0.1,0.1,82.97058823
2014/06/01,861.1313904,0.3,0.3,62.67647058
2014/07/01,634.7793312,0.7,0.7,64.5
2014/08/01,484.276536,0,0,85.9117647
2014/09/01,371.6222527,2.5,2.5,121.8529411
2014/10/01,312.3471905,0.3,0.3,168.117647
2014/11/01,306.786312,30.3,30.3,176.0294117
2014/12/01,586.3283712,56.4,56.4,177.9705882
